created_at,text,cleaned_text
Sun Aug 31 23:42:30 +0000 2025,tapi sumpah guyss jgn rusak fasilitas umum karena itu kitaa yang pake rambu lalu lintas itu kmren kelist tu rusakk woi lampunya jadi redup bngett bahayaa kalo jadi berantakan jalan raya nii ga kondusif lagi mana orang lagi sibuk yakan,sumpah guyss rusak fasilitas kitaa pakai rambu lintas kmren kelist rusakk woi lampu redup bngett bahayaa kalo beranta jalan raya nii kondusif orang sibuk yakan
Sun Aug 31 23:38:21 +0000 2025,Beneran gw pas jalan kerja di gojek nangis sedih banget liat halte busway Senen nyaksiin sendiri rusak parah dan banyak coretan kaya patah hati banget ,beneran jalan kerja gojek nang sedih lihat halte busway senen nyaksiin rusak parah coret kaya patah hati
Sun Aug 31 23:29:04 +0000 2025,Mobil Dinas Kesulitan di Jalan Rusak Warga Pilih Rekam daripada Bantu https://t.co/65JFEZERff,mobil dinas sulit jalan rusak warga pilih rekam bantu url
Sun Aug 31 22:46:43 +0000 2025,helehhhh prett bgt orang jepara aslinya gamau ribet pusingin ini itu jalan rusak sampe sedalem palung mariana aja mereka gaada komplain sama sekali sampe banyak kecelakaan gaada tuh dibenerin sama pemerintah trs cuma ditambal dan masih sama tetep banyak bolongnya,heleh prett orang jepara asli gamau ribet pusingin jalan rusak sampe dalem palung mariana tidak ada komplain sampe celaka tidak ada tuh dibenerin perintah tambal tetep bolong
Sun Aug 31 22:33:25 +0000 2025,@yorselves Apakah adil rakyat yg mati gegara lubang di jalan karena kualitas jalan yg dikorupsi? Apakah adil irigasi pertanian rusak gegara kualitas irigasi yg terkorupsi? Apakah adil generasi muda tenggelam dlm kebodohan karena anggaran pendidikan yg dikorupsi?,user adil rakyat mati gegara lubang jalan kualitas jalan korupsi adil irigasi tani rusak gegara kualitas irigasi korupsi adil generasi muda tenggelam bodoh anggar didik korupsi
Sun Aug 31 18:34:54 +0000 2025,@alisyarief Jangan rusak fasilitas tapi kejar orang orang nya... karena otak orang orang yg duduk di dpr sudah tidak pada mikirin masyarakatnya... cuman mikirin duit... kerjaan ndak ada.. jalan jalan keluar negeri gaji utuh besar... reses aja di bayar....,user rusak fasilitas kejar orang orang otak orang orang duduk dpr mikirin masyarakat cuman mikirin duit kerja ndak jalan jalan negeri gaji utuh besar reses bayar
Sun Aug 31 16:50:43 +0000 2025,@SwaggyMoYT @Elektroo12_ ANJINK GOBLOK. Dari dulu jg DPR yg RUSAK NEGARA. Loe pikir KEBIJAKAN PRESIDEN itu bisa jalan TANPA PERSETUJUAN DPR ??? Bawa kmari KEBIJAKAN JOKOWI TANPA PERSETUJUAN DPR itu apa wahai ANJINK GOBLOK ??? 1x aja BIKIN KEBIJAKAN sendiri itu PRESIDEN BISA LGSG DIPECAT. Ngerti ga ANJINK,user user anjink goblok dpr rusak negara loe pikir bijak presiden jalan tuju dpr bawa kmari bijak jokowi tuju dpr anjink goblok bijak presiden lgsg pecat ngerti anjink
Sun Aug 31 16:13:09 +0000 2025,Stay safe ges yg mau ikut turun besok. Sekolah dan tmpat les udh pada diliburin. Semoga jgn sampe ngerusak fasum yah (soalnya jalan rusak aja gk dibener2 rin apalagi fasum rusak)️,stay safe ges turun besok sekolah tmpat les udh diliburin moga sampe ngerusak fasum yah jalan rusak dibener rin fasum rusak
Sun Aug 31 16:02:38 +0000 2025,@kanggalongratis Ga diliburin kah rijjak? Sekolahku sih diliburin karna jalan tempat sekolahku berdiri itu jadi salsatu jalan yg bakal dipake sama pendemo dan sekolahku di PUSAT KOTA alias kepepet jalan raya &amp; jalan tikusnya juga rusak parah.. so we're not taking the risk of getting trapped there,user diliburin kah rijjak sekolah diliburin karna jalan sekolah diri salsatu jalan dipake demo sekolah pusat kota alias pepet jalan raya jalan tikus rusak parah not taking the risk getting trapped there
Sun Aug 31 15:37:34 +0000 2025,@budiwsso Berdasarkan info terkini dari berita seperti Tempo dan Kompas (31 Ags 2025) tidak ada demo besar hari ini di Jakarta tapi ada dampak sisa dari 29 Ags: beberapa halte Transjakarta rusak lalu lintas di Senayan &amp; sekitar mungkin terganggu. Jalur Pasar Senen-Grogol (via jalan,user dasar info kini berita tempo kompas ags demo besar jakarta dampak sisa ags halte transjakarta rusak lintas senayan ganggu jalur pasar senen grogol jalan
Sun Aug 31 15:35:41 +0000 2025,@banan4y_ klaim ke negara secara hukum sih adaa biasanya case jalan rusak yg berujung kecelakaan lantas. pake mekanisme gugatan dgn dasar PMH (1365 kuhper) tapi mungkin problem nya di pembuktiann. gimana mau buktiin kalo situasinya sendiri chaos cctv mati pelakunya sulit di identify..,user klaim negara hukum adaa case jalan rusak ujung celaka lantas pakai mekanisme gugat dasar pmh kuhper problem pembuktiann gimana buktiin kalo situasi chaos cctv mati laku sulit identify
Sun Aug 31 15:28:12 +0000 2025,Jadi kalo km males baca urutannya gini secara domino effect Kamu vote prabowo karena malas baca &gt; Prabowo jadi presiden &gt; Gaji DPR dinaikin (padahal itu semua uang pajak) &gt; Rakyat demo &gt; Provokator dikerahkan &gt; MRT rusak dibakar &gt; Mobilitas ga jalan.,kalo malas baca urut gin domino effect vote prabowo malas baca prabowo presiden gaji dpr dinaikin uang pajak rakyat demo provokator kerah mrt rusak bakar mobilitas jalan
Sun Aug 31 15:14:55 +0000 2025,@tanyarlfes Miyako Dah 4 tahun lebih mati kalau aku lagi jalan keluar aja. Kunci kipas angin ngga gampang rusak tuh cuma perlu rajin rajin di bersihin aja,user miyako dah mati jalan kunci kipas angin ngga gampang rusak tuh rajin rajin bersihin
Sun Aug 31 15:05:38 +0000 2025,Mau ngapain sih? Mau perang kah? Mending klean pada baikin jalan rusak d daerah² like in 2006. Drpd ngerusuhin rakyat yg berjuang buat bayarin gaji kalian itu. Oh dan kolor kalian. Either its matcha or what idc sami mawon.,ngapain perang kah mending klean baikin jalan rusak daerah like ngerusuhin rakyat juang bayarin gaji kolor either its matcha what idc sami mawon
Sun Aug 31 14:55:09 +0000 2025,media semuanya hening pasukan orange lagi bebenah bersih bersih semua yg rusak.. nampaknya semua tenang. tapi tadi gue melewati samping jalan yg tentrem banyak yg lagi istirahat tapi di ujung jalan banyak yg lagi piting leher orang tanpa suara tanpa cahaya,media hening pasu orange bebenah bersih bersih rusak nampaknya tenang lewat samping jalan tentrem istirahat ujung jalan piting leher orang cahaya
Sun Aug 31 14:33:00 +0000 2025,Tadi sore lewat jalan Slamet Riyadi masih ada bekas2 demonya... coret2an di aspal screen yg di halte BST juga rusak lampu merah ada yg dirusak bekas pembatas jalan yg dibakar juga masih ada,sore jalan slamet riyadi bekas demo coret aspal screen halte bst rusak lampu merah rusak bekas batas jalan bakar
Sun Aug 31 14:21:49 +0000 2025,jalan situ rusak makin rusak,jalan rusak rusak
Sun Aug 31 14:12:28 +0000 2025,TURUN KEJALAN YANG MANA?? ORANG SEMUA JALAN AJA RUSAK MALAS,turun jalan orang jalan rusak malas
Sun Aug 31 13:50:22 +0000 2025, Perusakan hanyalah jalan pintas menuju kehancuran bangsa. ️ BERSAMA MENJAGA INDONESIA https://t.co/cwvERETTnN,rusa jalan pintas hancur bangsa jaga indonesia url
Sun Aug 31 13:37:19 +0000 2025,Tadi sore keluar rumah buat belanja bulanan sepanjang jalan slamet riyadi banyak pot-pot tanaman yg rusak tiang lampu pada copot dan vandalisme dimana-mana,sore rumah belanja bulan jalan slamet riyadi pot pot tanam rusak tiang lampu copot vandalisme
Sun Aug 31 13:26:11 +0000 2025,@ninemoirai naahh ya ampun kesal aku jg denger dangdutan semalem. gak inget apa itu sarana prasarana publik sampai rusak jalanan macet bakar ban mobil di tengah jalan suasana mencekam.... mereka malemnya hura hura.... dangdutan,user naahh ampun kesal denger dangdut semalem inget sarana prasarana publik rusak jalan macet bakar ban mobil jalan suasana cekam malemnya hura hura dangdut
Sun Aug 31 13:11:46 +0000 2025,bs gk itu bu puan yg mau gantiin motor mas affan YG JELAS GK RUSAK. mnding bikin reka adegan dan duduk tengah jalan biar nnti me suruh papi i buat tabrak tabrak masok,puan gantiin motor affan rusak mnding reka adegan duduk jalan biar nnti suruh papi tabrak tabrak masok
Sun Aug 31 12:31:41 +0000 2025,@Riodiscuss Bused enak bgt pejabat nya. Uang pajak di makan sendiri.jalan di Bekasi rusak bhkn sampe ada yg meninggal. Lu rela? Otak pake. Kemana uang itu dan Lo bilang jgn provokasi?,user bused enak jabat uang pajak makan jalan bekas rusak bhkn sampe tinggal rela otak pakai mana uang bilang provokasi
Sun Aug 31 11:57:18 +0000 2025,Emg paling lucu tuh ngeliat para kelas menengah ngomel² urusan fasilitas rusak demo penyebab macet dsbnya sih. Sedang kenikmatan yg dia dapetin sekarang itu ya dari orang-orang yg panas panasan turun ke jalan. Padahal lu semua lebih mendekati kemiskinan daripada jd kaya bodoh.,lucu tuh ngeliat kelas tengah ngomel urus fasilitas rusak demo sebab macet dsbnya nikmat dapetin orang orang panas panas turun jalan dekat miskin kaya bodoh
